label,q,a
4,1000일 만난 여자친구와 이별,더 오래 만날 사람 만날 거예요.
4,10년 연애. 헤어졌습니다.,더 공허함이 크시겠네요.
4,10년 연애사 되돌아보니 다 부질없네,더 좋은 사람 만나실 거예요.
4,10년 연예의끝,더 마음이 허하겠어요.
4,10년만나다 헤어지네,충분히 슬퍼하고 충분히 아파하다가 이겨내세요.
4,10년이라는 시간이 참 무색하다 싶네,함께 걸은 길을 혼자 돌아가고 계시겠네요.
4,10월의 마지막밤 . 더 보고싶네 그사람,이별은 보고 싶은 마음을 참는 과정이죠.
4,14년된 여자친구랑 이별,충분히 슬퍼하고 충분히 아파하다가 이겨내세요.
4,14년의 기나긴 이야기.,좋은 연애였길 바라요.
4,15년…안녕,시간이 무색하네요.
4,15년만에 쓰는 편지.,천천히 써보세요.
4,1년 9개월 의 연애 종지부.,또 다른 사랑이 찾아올 거예요.
4,1년 반.,만난 시간 만큼 힘들 겠지만 잘 이겨낼 수 있을 거예요.
4,1년4개월의 종지부를 찍네.,충분히 슬퍼하고 충분히 아파하다가 이겨내세요.
4,1년동거 끝에 헤어짐,현실과 마주하셨나봐요.
4,1년만에 꿈에나와서 설레게하네,은연 중에 생각했나봐요.
4,1년만에 다시헤어지게 됐네,헤어짐은 항상 힘들죠.
4,1년만의 연애가 끝났네,만난 시간 만큼 힘들 겠지만 잘 이겨낼 수 있을 거예요.
4,1년을 넘게 만났는데 어떻게 이럽니까,시간이 무색해지네요.
4,1년이 되어갑니다,시간이 흐른 거 같은데 아직 많이 아프신가봐요.
4,1년이 아무것도 아니였나,아무것도 아닌 건 아닐 거예요.
4,1년이 지났어도,잊지 못하고 있나요.
4,1년전 그 날,생각이 더 나죠.
4,1년전 헤어진 남자한테서 연락이 왔어,헤어지면 연락 하지도 받지도 마세요.
4,2년 6개월 이렇게 끝나네,인연이 여기까지였나봅니다.
4,2년 가까이 여친하구 헤어졌습니다,안타깝네요.
4,2년 가량의 연애,안 좋은 기억보다 좋은 기억이 더 많았으면 좋겠네요.
4,2년 다되가는 연애 끝.,인연이 거기까지였나봐요.
4,2년 만에 연락 그후입니다 .,다시 연락을 했나봐요.
4,2년 사귀고 헤어졌습니다,짧지는 않은 시간 동안의 연애였는데 마음이 아프네요.
4,2년 정도를 만났는데 잘 이해가 안가,많이 알지 못했나봐요.
4,2년간 만난 여자친구와의 이별,애석하게도 헤어지셨네요.
4,2년간 연애끝에,만남을 정리하게 되었나봐요.
4,"2년간의 단거리, 2년간의 장거리, 그리고 이별.",고생 많았어요.
4,2년동안 나 사랑해줘서 고맙다,좋은 사랑 하셨나봐요.
4,2년만에 연락을 했습니다.,추억은 추억일 때 좋을 때도 있어요.
4,2년사귀다가 헤어젔는데,많이 힘들지 않았으면 좋겠네요.
4,2년여의 만남 3번의 이별,이별도 여러 번이면 마음이 이별을 준비해요.
4,2년의 꿈같았던 사랑 갑작스런이별,꿈같았던 만큼 놀라셨겠어요.
4,2년의 시간,좋았길 바랄게요.
4,2년의 연애에 이별이란 종착역!!,다른 역을 향해 떠나요.
4,2년이 지나서 첫사랑이 살던곳 지나갔는데,지나가지 말지 그랬어요.
4,2달반이라는 시간동안 많이 괜찮아졌어,시간이 쓰디쓴 약이었나봅니다.
4,2주가 지났어,2주 동안 고생했어요.
4,2주가지나가네,시간이 더 많이 지나가길 바랄게요.
4,2주동안 참을만 했는데,잘 참았어요.
4,2주전에 헤어졌습니다,힘들겠네요.
4,30살 막바지의 이별,나이에 상관없이 이별은 참 마음이 아프네요.
4,3개월만에 연락이 오긴왔는데.,시간 텀이 기네요.
4,3개월만에 연락이 왔습니다,그동안 많이 기다렸겠어요.
4,3개월이라는 시간이 흘렀지만 여전히 제자리걸음,제자리여도 괜찮아요.
4,3개월전에 헤어진 전남친이 문자했어,헤어지고 연락 받지 마요.
4,3개월째,아프지 마요.
4,3년 동거 돈 싸움. 헤어짐,돈이 문제죠.
4,3년 반의 만남 끝에 헤어지게 되었습니다.,많이 허절할 거라 생각해요.
4,3년 연애 . 마침표가 도저히 끊기질 않네 어쩌면 좋죠,마침표가 이어져서 선이 되기도 하죠.
4,3년 연애의 끝,힘들겠지만 잘 이겨낼 거예요.
4,3년 째 트라우마,상처받은 마음 보듬어주고 싶네요.
4,3년간 만나던 여자친구와 헤어졌어,힘들겠지만 잘 이겨낼 거예요.
4,3년반 만난여자와 헤어진지 한달 되었습니다,힘들겠지만 잘 이겨낼 수 있을 거예요.
4,3년연애이별,힘들겠지만 잘 이겨낼 거예요.
4,3년이 지난 지금,괜찮길 바랄게요.
4,3년이란 시간이 흘렀는대도,긴 시간인데 깊게 사랑했나봐요.
4,3년이란 오랜기간 연애를 하다보니 권태기가 찾아오네,권태기가 마침표인지 쉼표인지 살펴보세요.
4,3달이 지났네,물리적인 시간은 잘도 가죠.
4,3달이지났는데 이제야 헤어짐을 확신했네,이제야 실감이 나나 봐요.
4,40을 목전에 둔 헤어짐,나이에 상관없이 이별은 힘들죠.
4,45일만에 진짜 헤어지네,인연이 거기까지였나봐요.
4,4개월째.,이별 중인가봐요.
4,4년 반이라는 시간이 이렇게 끝나네.,사랑은 끝나도 당신의 시간은 여전히 진행 중인 걸 잊지 마세요.
4,4년 사귄 여자친구가 환승 이별했어,환승 이별은 예의가 아니네요.
4,4년 사귄뒤 이별. 어느새 5달이 다되어가네여.,만났던 시간이 긴 만큼 많이 힘들겠어요.
4,4년 연애 후 이별 6개월. 새로운 시작을 하는 전여친. 너무 힘들어.,헤어지면 남이에요. 신경쓰면 더 힘들어져요.
4,4년4개월간의사랑이끝났네,사랑은 끝나도 당신의 시간은 여전히 진행 중인 걸 잊지 마세요.
4,4년넘은 인연이 끝이났습니다.,사랑은 끝나도 당신의 시간은 여전히 진행 중인 걸 잊지 마세요.
4,4년만난 여자와 이별한지 5개월 다되어가네.,힘든 시간 잘 버텨내고 있길 바랄게요.
4,4년을 만난 여친이 떠났습니다.,한동안 받아들이기 버거울거예요.
4,"4년을 만났어도,,",사람 속을 모를 때가 있어요.
4,4년을 엊그제 마무리 했습니다,좋은 마무리가 되었길 바랍니다.
4,4번의 재회와 4번의 헤어짐,잦은 만남과 이별로 지쳤겠어요.
4,"4월, 이별을 말합니다.",헤어짐에도 준비가 필요할 거예요.
